FEATURE_ID	FEATURE_NAME	FEATURE_CLASS	STATE_ALPHA	STATE_NUMERIC	COUNTY_NAME	COUNTY_NUMERIC	PRIMARY_LAT_DMS	PRIM_LONG_DMS	PRIM_LAT_DEC	PRIM_LONG_DEC	SOURCE_LAT_DMS	SOURCE_LONG_DMS	SOURCE_LAT_DEC	SOURCE_LONG_DEC	ELEV_IN_M	ELEV_IN_FT	MAP_NAME	DATE_CREATED	DATE_EDITED
197044	Red Dirt Bridge	Bridge	CO	8	Eagle	37	394813N	1065819W	39.8035971	-106.9719901			NA	NA	1940	6365	Burns South	12/1/1991	
307356	Fishermens Village	Populated Place	FL	12	Charlotte	15	265543N	0820341W	26.9286726	-82.0614779			NA	NA	1	3	Punta Gorda	4/1/1993	
171875	Texas Mountain	Summit	CO	8	Rio Blanco	103	394633N	1085109W	39.7758089	-108.8526038			NA	NA	2577	8455	Texas Mountain	10/13/1978	
344282	Martins Knob Lookout Tower	Tower	GA	13	Harris	145	324623N	0844813W	32.7731885	-84.8035404			NA	NA	372	1220	Pine Mountain	9/25/1979	
947625	Crab Meadow	Swamp	NY	36	Suffolk	103	405527N	0731914W	40.9242646	-73.3206716			NA	NA	1	3	Northport	1/23/1980	
1051418	Tiffany Acres	Populated Place	OH	39	Clark	23	395201N	0835315W	39.8670041	-83.8874303			NA	NA	303	994	Yellow Springs	2/1/1991	
959108	Oak Hill	Summit	NY	36	Chenango	17	423554N	0755159W	42.5984025	-75.8663072			NA	NA	505	1657	Pitcher	1/23/1980	
830723	Lincoln Grove School (historical)	School	NE	31	Otoe	131	403240N	0955458W	40.5444457	-95.9161133			NA	NA	344	1129	Paul	3/9/1979	
719523	High Hill Camp	Locale	MO	29	Montgomery	139	385200N	0912254W	38.8667099	-91.381548			NA	NA	258	846	Pinnacle Lake	10/24/1980	
415977	Point Pleasant School (historical)	School	IL	17	Calhoun	13	385449N	0903357W	38.9136609	-90.5659533			NA	NA	156	512	Brussels	1/15/1980	
330611	Wofford Creek	Stream	GA	13	Banks	11	342850N	0833007W	34.4806561	-83.5018372	342953N	0833132W	34.4980556	-83.5255556	289	948	Baldwin	9/13/1996	
257148	Black Peak	Summit	CA	6	Fresno	19	371054N	1190302W	37.1816116	-119.0506714			NA	NA	2969	9741	Dogtooth Peak	1/19/1981	
255429	Cascade Mine Number One	Mine	CA	6	San Bernardino	71	341655N	1143023W	34.281958	-114.5063491			NA	NA	537	1762	Savahia Peak	1/19/1981	
1039404	County Home Cemetery	Cemetery	OH	39	Seneca	147	410439N	0830949W	41.0775552	-83.1635294			NA	NA	241	791	Tiffin South	7/12/1979	
