"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"345123",391755,"Swede Bay","Bay","ID","Kootenai",47.6115719,-116.804631,649,2129,31,391755,16.321992439404,16.3209976955402,1
"479245",539111,"Salt Springs Church","Church","LA","Red River",32.0237716,-93.2001674,60,197,38,539111,3.2243718034245,3.22624373051376,1
"478791",538657,"Rock of Mount Zion Church","Church","LA","West Carroll",32.5934709,-91.4356719,30,98,38,538657,2.55726039581944,2.5552392571506,1
"1037357",1133625,"Oregon End Reservoir","Reservoir","OR","Harney",42.05269,-118.8008136,1397,4583,13,1133625,32.9553035356905,32.9537752473905,2
"782055",855662,"Dutch Flat Placer Mine","Mine","NV","Humboldt",41.1726786,-117.4959562,1480,4856,9,855662,34.8009784300645,34.8041209163617,2
"782231",855838,"Gold Springs Mining District","Civil","NV","Lincoln",37.8813528,-114.0633109,2012,6601,42,855838,46.6310873915944,46.6314219872577,2
"905446",984041,"Deavers Pond","Reservoir","NC","Duplin",35.162403,-77.9569417,32,105,13,984041,2.60173448965977,2.60268401789345,2
"305463",345232,"Virgle Branch","Stream","GA","Toombs",32.1760203,-82.3984608,53,174,1,345232,3.06871247498332,3.07035380235868,1
"33117",38718,"Prescott Railroad Station","Building","AZ","Yavapai",34.545302,-112.4685026,1625,5331,28,38718,38.025350233489,38.0235868239122,1
"875208",952911,"Hobbie Creek","Stream","NY","Monroe",43.1950624,-77.5438878,90,295,1,952911,3.89148321102958,3.89047038091365,2
"938266",1017208,"Bryson City Dam","Dam","NC","Swain",35.4667623,-83.4662714,716,2349,22,1017208,17.8118745830554,17.8121187474583,2
"368040",416244,"Prospect School (historical)","School","IL","Sangamon",39.5658836,-89.8967708,209,686,7,416244,6.53769179452969,6.54059915954995,1
"357149",405331,"Cadwell","Populated Place","IL","Moultrie",39.6811445,-88.5217243,204,669,15,405331,6.42650655992884,6.42537616917446,1
"826254",900408,"Scholler Spring","Spring","NM","Otero",33.0906389,-106.0894378,1312,4304,11,900408,31.0651545474761,31.0627626406398,2
"870399",948097,"Daytonville","Populated Place","NY","Oneida",42.977292,-75.3429457,416,1365,15,948097,11.1407605070047,11.1427409516063,2
"12773",13228,"Village Meadows Elementary School","School","AZ","Maricopa",33.6494995,-112.1035218,415,1362,7,13228,11.1185234600845,11.1224074827166,1
"1045795",1142194,"Five Minute Draw","Valley","OR","Wheeler",44.5484694,-120.1761191,939,3081,2,1142194,22.7707360462531,22.7734851565677,2
"162395",199292,"Porter Number 1 Dam","Dam","CO","Delta",38.9233153,-108.1022951,2793,9163,22,199292,63.9982210362464,63.9962044191406,1
"270490",309231,"Carter Airport","Airport","FL","Orange",28.6183623,-81.5088409,24,79,53,309231,2.42383811429842,2.42646062084858,1
"351236",397932,"Morrow","Populated Place","ID","Lewis",46.1268262,-116.5234788,1255,4117,15,397932,29.7976428730265,29.7953097465094,1
"92782",127788,"Tharp Cemetery","Cemetery","AL","Colbert",34.5881484,-87.6925306,208,682,26,127788,6.51545474760952,6.5134878676969,1
"851902",926395,"RG-17211 Water Well","Well","NM","Rio Arriba",36.0502996,-106.2036365,1936,6352,14,926395,44.9410718256616,44.9437440694049,2
"567332",628666,"Houghton Lake Heights","Populated Place","MI","Roscommon",44.3275165,-84.7744724,358,1175,15,628666,9.85101178563487,9.85495458858615,2
"345281",391913,"Tenmile Creek","Stream","ID","Boise",44.1193459,-115.3853778,1330,4363,1,391913,31.4654213920391,31.4626541954724,1
"191984",229697,"North Fork Mill Creek","Stream","CA","Tehama",40.0501571,-122.1119342,60,197,1,229697,3.2243718034245,3.22624373051376,1
"103594",138816,"Saint Aaron Church","Church","AL","Washington",31.2057286,-88.076947,58,190,38,138816,3.17989770958417,3.17879896977091,1
"438529",487457,"Blango Slough","Gut","KY","Ballard",37.0775519,-89.1100709,95,312,52,487457,4.00266844563042,4.00569337128914,1
"147066",183656,"Farnum Peak","Summit","CO","Park",39.1669349,-105.560003,3466,11371,6,183656,78.9637536135201,78.9616375220279,1
"272196",311024,"Bee Hive Cemetery","Cemetery","GA","Dodge",32.2882264,-83.1232052,113,371,26,311024,4.40293529019346,4.40558492612173,1
"769555",843049,"Rabbit Spring Microwave Station","Tower","NV","Mineral",38.6543665,-118.3117929,2036,6680,46,843049,47.1647765176785,47.1668700013556,2
"778724",852324,"Metallurgical Works","Locale","NV","Lyon",0,0,0,0,4,852324,1.89014898821436,1.89101260675071,2
"319799",359738,"K?heawai","Area","HI","Hawaii",19.096631,-155.809704,574,1883,33,359738,14.6542139203914,14.6536532465772,1
"315934",355844,"Flint Hill Cemetery","Cemetery","GA","Walton",33.7090017,-83.8487929,268,879,26,355844,7.84967756281966,7.84871899145994,1
"135212",171764,"Left Fork East Fourmile Draw","Valley","CO","Rio Blanco",39.9483138,-108.7470483,1746,5728,2,171764,40.7160329108294,40.714382540328,1
"924293",1003110,"Swansboro Middle School","School","NC","Onslow",34.7043289,-77.1532534,10,33,7,1003110,2.11251945741606,2.11468076453843,2
"593883",655274,"Bay Lake","Lake","MN","Itasca",47.3910595,-93.7108025,399,1309,18,655274,10.7627307093618,10.7631828656636,2
"290975",330094,"Tyler Island","Island","GA","Jasper",33.146517,-83.8154582,116,381,36,330094,4.46964643095397,4.47336315575437,1
"276633",315479,"Hodchodkee Creek","Stream","GA","Quitman",31.8265506,-84.9715932,66,217,1,315479,3.35779408494552,3.36180018977904,1
"597979",659380,"Mud Lake Lookout","Locale","MN","Cass",47.2766216,-94.02384,398,1306,4,659380,10.7404936624416,10.7428493967738,2
"641007",712218,"West Kemper Post Office (historical)","Post Office","MS","Kemper",0,0,0,0,57,712218,1.89014898821436,1.89101260675071,2
"708663",781464,"Cobden Peak","Summit","MT","Mineral",47.1088132,-114.7479044,1301,4268,6,781464,30.8205470313542,30.8187610139623,2
"650959",722326,"Mill Creek","Stream","MO","Jackson",38.85079,-94.60658,262,860,1,722326,7.71625528129864,7.71994035515792,2
"269759",308303,"Midway Church","Church","FL","St. Lucie",27.4261508,-80.3247722,6,20,38,308303,2.02357126973538,2.026569066016,1
"483899",543788,"Willswood","Populated Place","LA","Jefferson",29.9263164,-90.2289654,1,3,15,543788,1.91238603513453,1.9113460756405,1
"96469",131485,"Patton Creek Dam","Dam","AL","Jefferson",33.366777,-86.8249894,119,390,22,131485,4.53635757171448,4.53436356242375,1
"1048073",1144567,"Kerby Hill","Summit","OR","Klamath",42.7398519,-122.2575281,2016,6614,6,1144567,46.7200355792751,46.7195336857801,2
"316503",356419,"New Canaan Church","Church","GA","Bartow",34.2084293,-84.8254946,241,791,38,356419,7.24927729597509,7.25227057069269,1
"853027",927520,"10177 Water Well","Well","NM","Luna",32.2392543,-107.716417,1306,4285,14,927520,30.9317322659551,30.9339840043378,2
"529878",590640,"Laurel Brook","Populated Place","MD","Harford",39.5067738,-76.4288516,83,272,15,590640,3.73582388258839,3.73458045275857,2
"861165",936155,"05112 Water Well","Well","NM","Roosevelt",34.4103504,-103.8196862,1305,4281,14,936155,30.9094952190349,30.9068727124848,2
"662555",734095,"Nordmeyer School (historical)","School","MO","Chariton",39.359195,-92.8510221,200,656,7,734095,6.33755837224817,6.33726447065203,2
